dataset,method,top1_accuracy,top5_accuracy,ece,quant_type,exp_name
impulse_noise,zo_base,51.5,74.790001,0.040367,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
defocus_blur,zo_base,46.284,70.388,0.028438,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
glass_blur,zo_base,43.947998,67.762001,0.030979,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
motion_blur,zo_base,49.523998,73.213997,0.034197,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
zoom_blur,zo_base,46.958,70.341995,0.025995,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
snow,zo_base,62.531998,83.984001,0.064624,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
frost,zo_base,62.459999,83.463997,0.067453,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
fog,zo_base,66.612,86.813995,0.15664,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
brightness,zo_base,76.725998,93.762001,0.072481,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
contrast,zo_base,44.689999,67.641998,0.045989,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
elastic_transform,zo_base,53.125999,75.877998,0.040848,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
pixelate,zo_base,64.881996,86.035995,0.062555,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
jpeg_compression,zo_base,67.493996,88.206001,0.056424,quant6_bs64,zo_base_quant6_bs64_adapter3_rf384
gaussian_noise,lame,43.789997,66.603996,0.082617,quant6_bs64,lame_quant6_bs64_calibration
shot_noise,lame,42.32,65.425995,0.050608,quant6_bs64,lame_quant6_bs64_calibration
impulse_noise,lame,44.509998,67.627998,0.084617,quant6_bs64,lame_quant6_bs64_calibration
defocus_blur,lame,37.700001,59.995998,0.029303,quant6_bs64,lame_quant6_bs64_calibration
glass_blur,lame,27.851999,49.091999,0.088814,quant6_bs64,lame_quant6_bs64_calibration
motion_blur,lame,42.933998,65.895996,0.018027,quant6_bs64,lame_quant6_bs64_calibration
zoom_blur,lame,34.854,56.807999,0.074185,quant6_bs64,lame_quant6_bs64_calibration
snow,lame,43.905998,77.155998,0.180773,quant6_bs64,lame_quant6_bs64_calibration
frost,lame,59.245998,81.203995,0.148709,quant6_bs64,lame_quant6_bs64_calibration
fog,lame,54.101997,79.365997,0.309613,quant6_bs64,lame_quant6_bs64_calibration
brightness,lame,74.722,92.767998,0.10652,quant6_bs64,lame_quant6_bs64_calibration
contrast,lame,24.604,40.789997,0.142943,quant6_bs64,lame_quant6_bs64_calibration
elastic_transform,lame,37.245998,60.897999,0.097275,quant6_bs64,lame_quant6_bs64_calibration
pixelate,lame,59.285999,81.813995,0.03891,quant6_bs64,lame_quant6_bs64_calibration
jpeg_compression,lame,64.834,86.472,0.059875,quant6_bs64,lame_quant6_bs64_calibration
